id,timestamp,device_id,device_name,action,details
223,2025-08-24T04:31:54.771113,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
224,2025-08-24T04:37:04.888690,,4147978b-91c0-42f1-92e1-45bc49038c9b,PRICE_QUERY_OK,"{""barcode"": ""30"", ""price"": 15.97, ""error"": null}"
226,2025-08-25T00:13:10.221889,,918177ed-43a1-4361-b40a-fa9979d750a9,PRICE_QUERY_OK,"{""barcode"": ""30"", ""price"": 15.97, ""error"": null}"
227,2025-08-25T01:47:31.471949,,Global,IMPORT_FAIL,[arquivo] Arquivo não encontrado
228,2025-08-25T18:49:55.212049,,918177ed-43a1-4361-b40a-fa9979d750a9,PRICE_QUERY_OK,"{""barcode"": ""30"", ""price"": 15.97, ""error"": null}"
229,2025-08-27T18:51:32.585230,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
230,2025-08-27T19:21:35.904142,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
231,2025-08-27T19:22:33.768892,,Global,IMPORT_FAIL,[arquivo] Arquivo não encontrado
232,2025-08-27T19:29:35.712897,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
233,2025-08-27T19:36:06.146860,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
234,2025-08-27T22:39:26.717324,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
235,2025-08-27T22:39:34.984443,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
236,2025-08-27T22:40:21.077983,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
237,2025-08-27T22:43:52.930030,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
