barcode,name,price,promo
1811,BOLO CURAU kg,39.9,
1812,BOLO SATIM ROMEU E JULIETA kg,39.9,
1815,PEIXE PORCO LIMPO kg,26.9,
1816,PEIXE CACAO LIMPO RESF.kg,39.9,
1830,SASHIMI SALM.EMB.kg,119.9,
1832,SASHIMI ATUM EMB.kg,89.9,
1845,PANETTONE C GOIABA kg,25.9,
1846,PP FGO.A PASSARINHO kg,44.9,
1851,SALAME SAD.TP.ITAL.GROS.FAT.kg,120.2,
1852,COPA SAD.FAT.kg,143.9,
1853,COPA AUR.FAT.kg,113.9,
1857,PAO MANDIOQUINHA kg,26.9,
1870,PAO ALHO kg,38.9,
1895,LOMBO NOBRE CONG.FAT.EMB.kg,18.99,
1896,PERNIL AUR.CONG.FAT.EMB.kg,13.95,
1910,BOLO SENSACAO kg,65.9,
1924,ALFAJOR kg,38.9,
1948,PEIXE ATUM LOMBO kg,49.9,
1949,PEIXE ABADEJO POSTAS kg,69.99,
1950,PEIXE DOUR.POSTAS EMB.kg,57.99,
1951,PEIXE GAROUPA POSTAS EMB.kg,69.99,
1953,PEIXE NAM.POSTAS EMB.kg,59.99,
1954,PEIXE PINTADO POSTAS EMB.kg,44.9,
1955,PEIXE ROBALO POSTAS EMB.kg,69.99,
1956,PEIXE VERM.POSTAS kg,59.99,
1958,PP SALPICAO DE FGO.kg,59.9,
1959,PP PERNIL ASSADO kg,73.9,
1965,PP SALADA DE MAIONESE kg,39.9,
1967,PP FAROFA RICA kg,64.9,
1968,PP FEIJAO kg,29.9,
1969,PP FEIJAO TROPEIRO kg,42.9,
1970,PP PANQUECA FGO.C REQ.kg,51.9,
1971,PP PANQUECA CARNE kg,63.9,
1973,PP NHOQUE kg,42.9,
1975,PP FILE FGO.PARMEGIANA kg,54.9,
1976,PP FILE FGO.GRELHADO kg,70.9,
1977,PP CUSCUZ DE SARDINHA kg,57.9,
1981,PP ARROZ BCO.kg,29.9,
1983,PP ARROZ GREGA kg,35.9,
1984,PP LAGARTO RECHEADO kg,94.9,
1985,PP STROGONOFF DE FGO.kg,60.95,
1986,PP ALMONDEGAS AO SUGO kg,68.9,
1987,PP BIFE A ROLE kg,107.9,
1988,PP FILE FGO.MILANESA kg,58.9,
1989,PP BIFE A PARMEGIANA kg,107.9,
1991,PP ARROZ CARRETEIRO kg,36.9,
1993,PP LASANHA BOLONHESA kg,49.9,
2005,PP FEIJOADA kg,44.9,
2007,PP BANANA A MILANESA kg,46.9,
2008,PP BERINJELA A PARMEGIANA kg,53.9,
2009,PP TORRESMO kg,142.9,
2012,PP BACALHAU GOMES DE SA kg,149.5,
2016,PEIXE DOUR.DO MAR kg,42.9,
2057,SALAME NOBRE TP.ITAL.FAT.EMB.kg,84.9,
2058,SALAME AUR.ITAL.FINO FAT.kg,95.3,
2059,SALAME AUR.ITAL.GROS.FAT.kg,99.4,
2064,TORTA HOLANDESA kg,61.9,
2071,PP PINTADO ASSADO kg,106.9,
2075,ABOBORA JAP.EMB.kg,7.39,
2140,PP CACAO AO MOLHO kg,81.9,
2141,PP COXA SOBRECOXA GRELHADO kg,48.9,
2143,PP SARDINHA FRITA kg,69.9,
2144,PP COXAO DURO RECHEADO kg,115.9,
2145,PP BIFE A MILANESA kg,108.9,
2146,PP FILE DE MERLUZA kg,103.9,
2147,PP COSTELA PORCO kg,103.9,
2161,CEBOLA MIUDA P CONS.kg,6.59,
2182,PP CANELONE MISTO kg,59.9,
2183,PP ESPAGUETE BOLONHESA kg,34.9,
2186,PP PERU ASSADO kg,105.9,
2187,PP CHESTER kg,104.9,
2188,PP LOMBO SUINO kg,63.9,
2190,CANGALHA kg,25.9,
2192,SERIGUELA EMB.kg,39.9,
2193,TOMATE ITAL.kg,10.95,
2194,TOMATE ITAL.EMB.kg,16.0,
2213,PEIXE SARDINHA LIMPA EMB.kg,17.9,
2240,DEKOPON kg,6.99,
2261,MORTADELA CERAT.T.BOL.FAT.kg,63.9,
2266,BOLO TRUFADO kg,65.9,
2275,PAVE MOR.kg,53.9,
2292,PEIXE BAGRE POSTAS kg,35.99,
2293,PEIXE PESCADA PAN PEQ.LIMPA kg,28.9,
2294,STROGONOFF FGO.EMB.kg,29.99,
2297,PP ARROZ UVA PASSA CASTANHA kg,39.9,
2299,PP FAROFA FESTIVA kg,63.9,
2302,MORTADELA SAD.DEF.FAT.kg,25.2,
2303,PEIXE SARDINHA CONG.kg,19.99,
2321,PP TAMBAQUI ASSADO kg,84.9,
2322,PEIXE TAMBAQUI POSTAS EMB.kg,39.9,
2326,PP COUVE MANTEIGA kg,66.9,
2327,PP BATATA FRITA kg,76.9,
2328,PP LINGUICA TOSCANA kg,69.9,
2329,PP RISOTO DE CAMARAO kg,64.8,
2337,PP ABOBRINHA RECHEADA kg,54.9,
2342,BOLO CHOCONOZES kg,64.9,
2353,PP SALADA DE FRIOS kg,64.9,
2363,PEIXE ABROTEA LIMPA kg,32.99,
2365,PEITO FGO.S P.C OS.EMB.RESF.kg,22.99,
2367,CAMARAO LEGITIMO BCO.kg,149.5,
2410,BOLO AIPIM kg,39.9,
2411,BOLO PE DE  MOLEQUE.kg,45.9,
2414,BOLO BATATA DOCE kg,44.9,
2430,PANETTONE SALG.SALAME kg,48.9,
2431,PANETTONE SALG.CALABESA kg,37.9,
2440,COSTELA AUR.SUI.CORT.kg,28.99,
2447,PEIXE OLHETE INT.FRES.kg,35.9,
2451,PEIXE POSTAS CACAO C.S P.EMB.kg,34.9,
2474,PP BATATA BOLINHA kg,35.9,
2475,PP SALMAO POSTA kg,149.5,
2476,PP SALADA DE OVO DE CODORNA kg,44.9,
2482,PEIXE TILAPIA VERM.kg,28.9,
2495,PEIXE CACAO RESF.kg,29.9,
2499,FILE MERL.CONG.kg,43.9,
2502,CATARINA BANANA kg,47.9,
2514,MORTADELA PERD.OURO PED.kg,25.9,
2515,MORTADELA PERD.OURO FAT.kg,28.5,
2540,FILE TILAPIA SAINT PETER ORIG.kg,69.99,
2541,PAO FRANCES kg,15.99,
2543,CAMARAO CINZA S CAB.EMB.kg,79.99,
2555,ROCAMBOLE CHOC.kg,47.9,
2556,ROCAMBOLE SENSACAO kg,48.9,
2558,PP SALADA DE COUVE FLOR kg,58.9,
2561,PP PEIXE PORQUINHO kg,95.9,
